2023-04-26 00:35:32,599 [RMI TCP Connection(122)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
2023-04-26 08:58:25,503 [Test worker] INFO  org.hibernate.annotations.common.Version           - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-04-26 08:58:25,891 [Test worker] INFO  com.zaxxer.hikari.HikariDataSource                 - HikariPool-1 - Starting...
2023-04-26 08:58:28,847 [Test worker] INFO  com.zaxxer.hikari.HikariDataSource                 - HikariPool-1 - Start completed.
2023-04-26 08:58:28,987 [Test worker] INFO  org.hibernate.dialect.Dialect                      - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2023-04-26 08:58:32,901 [Test worker] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator                 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-04-26 08:58:32,920 [Test worker] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-04-26 08:58:34,842 [Test worker] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-04-26 08:58:41,436 [Test worker] INFO  c.h.c.EmployeeDetailsManagementApplicationTests    - Started EmployeeDetailsManagementApplicationTests in 23.345 seconds (JVM running for 28.791)
2023-04-26 08:58:41,844 [Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper        - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.hdfc.capstone.serviceImpl.EmployeeServiceImplTest], using SpringBootContextLoader
2023-04-26 08:58:41,845 [Test worker] INFO  o.s.t.c.support.AbstractContextLoader              - Could not detect default resource locations for test class [com.hdfc.capstone.serviceImpl.EmployeeServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
